SampleID,sample_description,soil_type,year,soil_year,water_pH,CaCl2_pH,organic_matter,Available-P,Remaining-P,potassium,Kcmol,sulfur,calcium,magnesium,aluminum,acidity_potential,Cation Exchange Capacity,percent_V,percent_m,Ca_Mg,Ca_K,Mg_K,Ca_CEC,Mg_CEC,K_CEC,H+Al_T,Na_CTC,boron,zinc,iron,manganese,copper,total_nitrogen,course_sand,fine_sand,silt,clay,classification,time_since_restoration (years),C3_herbs,C3_woody,C4_invasive,d13C,C Amount (ug),Amount (mg),percent_C,percent_vol,dC3,percent_dC3,percent_dC4,macroaggregates_percent,ugg_fraction_percent,s_and_c_fraction_percent,r_fraction_percent,sum_percent
S1,Soil_1997_A,Soil,1997,Soil_1997,5.7,4.7,2.6,1.3,19.7,66.2,0.2,4.6,0.2,0.1,0.6,8,8.5,6,56,2,1.2,0.6,2,1,2,95,0,0.3,0.6,84.9,7.7,0.1,0.15,5,12.3,22.8,60,heavy_clay,,,,,,,,,,,,,,,,,
S2,Soil_1997_B,Soil,1997,Soil_1997,5.3,5,3.7,1.7,16,73.4,0.2,5.6,0.1,0.1,0.7,9.1,9.5,4,64,1,0.5,0.5,1,1,2,96,0,0.3,0.7,96.9,7.3,0.1,0.18,5.52,11.4,38.9,44,clay,,,,,,,,,,,,,,,,,
S3,Soil_1997_C,Soil,1997,Soil_1997,5.5,4.5,3,1.7,53.8,102.2,0.3,5.6,0.3,0.2,0.7,8.5,9.3,8,48,1.5,1.2,0.8,3,2,3,92,0,0.3,0.8,99,8.7,0.2,0.18,5.66,11.7,24.7,58,clay,,,,,,,,,,,,,,,,,
R1,Reveg_1997_A,Revegetation,1997,Revegetation_1997,5.9,5,4.4,484,43.9,66.9,0.2,9.1,3.3,0.8,0.1,7.8,12.1,35,2,4.1,19.4,4.7,27,7,1,65,0,0.1,29.8,170.4,10.7,3,0.29,17.82,11.1,31.2,40,clay loam,18,1,3,3,-15.8357814,132.0414746,4.37,3.021544041,4.048869014,1.252265655,30.92877667,69.07122333,84,13,2,0.82,99.87
R2,Reveg_1997_B,Revegetation,1997,Revegetation_1997,6.3,5.4,3,134.3,53.3,35.5,0.1,10.5,2.4,0.6,0.1,5.4,8.5,36,3,4,26.7,6.7,28,7,1,64,0,0.1,16.6,96.6,4.9,2.6,0.21,8.72,8,29.4,54,clay,18,1,3,3,-16.55365005,309.493447,5.65,5.477760123,7.340198565,2.71602875,37.00211549,62.99788451,75,21,2,0.83,98.66
R3,Reveg_1997_C,Revegetation,1997,Revegetation_1997,5.7,4.9,3.9,154.1,28,45.2,0.1,11.3,1.2,0.5,0.1,7,8.8,21,5,2.4,10,4.2,14,6,1,79,0,0.1,10.2,80.6,5.6,2.4,0.17,5.88,5.5,28.7,60,heavy_clay,18,1,3,3,-16.16669585,204.5095663,5.05,4.049694381,5.426590471,1.830301669,33.72839131,66.27160869,74,22,2,1.22,99.45
T1,Substrate_1997_A,Substrate,1997,Substrate_1997,6,5.6,0.2,3.5,4.7,15.8,0,6.3,0.2,0.1,0.1,1,1.3,26,23,2,5,2.5,15,8,3,74,0,0.1,1.4,23.1,1.1,2,0.02,14.7,6,13.5,66,heavy_clay,,,,,-19.2040804,28.03738124,10.01,0.280093719,0.280093719,0.166446768,59.42538407,40.57461593,,,,,
T2,Substrate_1997_B,Substrate,1997,Substrate_1997,6,5.7,0.2,1.1,3.4,12.6,0,5.7,0.2,0.1,0.1,0.9,1.2,28,23,2,6.7,3.3,17,8,3,72,0,0.1,2,25.7,1.1,3.4,0.03,9.64,5.1,23.2,62,heavy_clay,,,,,-19.70621865,31.17046567,11.09,0.281068221,0.281068221,0.178966234,63.67359262,36.32640738,,,,,
T3,Substrate_1997_C,Substrate,1997,Substrate_1997,5.8,5.5,0.2,0.9,2.7,10.3,0,8.1,0.2,0.1,0.1,1.1,1.4,24,23,2,6.7,3.3,14,7,2,77,0,0.1,3.8,20.5,0.9,6.5,0.04,14.7,7,14.3,64,heavy_clay,,,,,-19.50731453,30.00462839,11.01,0.272521602,0.272521602,0.168938367,61.9908167,38.0091833,,,,,
S4,Soil_2002_A,Soil,2002,Soil_2002,4.5,4.2,4.4,1.7,46.4,92.5,0.2,5.6,0.6,0.5,0.4,10.1,11.4,12,23,1.2,2.5,2.1,5,4,2,89,0,0.2,0.8,78.8,14.1,0.3,0.2,12.4,3.3,28.4,56,clay,,,,,,,,,,,,,,,,,
S5,Soil_2002_B,Soil,2002,Soil_2002,4.8,4.2,4.6,1.8,16.2,177.3,0.5,6,0.6,0.4,0.6,11.1,12.6,12,29,1.5,1.3,0.9,5,3,4,88,0,0.2,0.8,107,15.7,0.2,0.2,20.66,3.8,17.5,58,clay,,,,,,,,,,,,,,,,,
S6,Soil_2002_C,Soil,2002,Soil_2002,5,4.3,4.4,1.8,16.7,150.9,0.4,5.9,0.5,0.4,0.5,8.9,10.2,13,28,1.3,1.3,1,5,4,4,87,0,0.2,0.6,94.7,13,0.2,0.16,19.82,3.6,17.6,59,clay,,,,,,,,,,,,,,,,,
R4,Reveg_2002_A,Revegetation,2002,Revegetation_2002,6.8,6.5,4.8,711,33.8,74.9,0.2,6.8,9.4,1,0.1,3.1,13.7,77,1,9.4,49.5,5.3,69,7,1,23,0,0.3,30.8,135.1,7.4,3.1,0.33,29.48,8.1,36.4,26,medium loam ,13,26,5,2,-16.24877849,392.7099916,4.47,8.785458425,10.54255011,3.629044089,34.42282988,65.57717012,67,19,4,6.71,96.28
R5,Reveg_2002_B,Revegetation,2002,Revegetation_2002,6.4,5.9,4.4,894.5,33.6,77.8,0.2,6,7,1,0.1,5.6,13.8,59,1,7,35,5,51,7,1,41,0,0.2,43.5,214.8,6.4,4.7,0.42,28.24,8.1,43.7,20,medium loam ,13,26,5,2,-16.57048004,573.1734579,5.69,10.07334724,12.08801669,4.490033497,37.14450115,62.85549885,69,19,3,5.96,96.99
R6,Reveg_2002_C,Revegetation,2002,Revegetation_2002,6.2,5.6,4.2,443,41.5,66.1,0.2,4.5,4.8,1.1,0.1,5,11.1,55,2,4.4,28.2,6.5,43,10,2,45,0,0.1,21,102.4,6.8,2.8,0.3,28.94,8,31.2,32,clay loam,13,26,5,2,-16.92051013,397.8724688,4.02,9.897325095,11.87679011,4.763286281,40.10583866,59.89416134,65,20,3,7.9,95.33
T4,Substrate_2002_A,Substrate,2002,Substrate_2002,5.8,5.5,0.8,1.5,10.2,122.8,0.3,6.2,3.8,0.2,0.1,0.2,4.5,96,2,19,12.3,0.6,84,4,7,5,0,0.1,1.1,26.8,3.7,0.9,0.07,35.52,12.8,25.7,26,sandy clay loam,,,,,-19.47548469,66.75037484,9.23,0.723189326,0.723189326,0.446363507,61.72152865,38.27847135,,,,,
T5,Substrate_2002_B,Substrate,2002,Substrate_2002,5.2,4.9,0.2,2.9,9.2,49.7,0.1,4.8,0.3,0.1,0.1,1.2,1.7,31,16,3,2.3,0.8,18,6,8,68,0,0.1,1,36,0.5,1.4,0.05,29.36,10.9,31.7,28,clay loam,,,,,-19.33271117,67.1151423,9.37,0.716276865,0.716276865,0.433445138,60.51363084,39.48636916,,,,,
T6,Substrate_2002_C,Substrate,2002,Substrate_2002,5.2,4.8,0.2,2,5.7,19.6,0.1,6,0.2,0.1,0.1,1.7,2.1,17,22,2,4,2,10,5,2,83,0,0.1,1.5,39.9,0.5,2.4,0.04,34.58,9.6,30,26,medium loam ,,,,,-19.18259712,70.83602437,9.7,0.730268292,0.730268292,0.432637449,59.24363045,40.75636955,,,,,
S7,Soil__2003_A,Soil,2003,Soil_2003,5.2,4.7,1.9,2.8,38.5,61.2,0.2,5.2,1.6,0.5,0.1,4.2,6.5,35,4,3.2,10,3.1,25,8,2,65,0,0.1,4.1,56.5,11.2,3.1,0.13,53.1,18.3,10.5,18,clay loam,,,,,,,,,,,,,,,,,
S8,Soil__2003_B,Soil,2003,Soil_2003,5.1,4.4,2.3,3.7,32.7,71.5,0.2,6.9,1.4,0.3,0.3,6.8,8.7,22,14,4.7,7.8,1.7,16,3,2,79,0,0.1,5.7,70,14.5,4.6,0.16,50.06,15.4,13.4,21,sandy clay loam,,,,,,,,,,,,,,,,,
S9,Soil__2003_C,Soil,2003,Soil_2003,6.1,5.2,1.6,1.6,32.6,57.4,0.1,6.4,0.6,0.2,0.1,4.6,5.6,17,10,3,4,1.3,11,4,3,82,0,0.1,1.6,64.6,7.3,0.3,0.1,51.1,16,8.9,22,sandy clay loam,,,,,,,,,,,,,,,,,
R7,Reveg_2003_A,Revegetation,2003,Revegetation_2003,6.7,6.2,2.3,1.5,22,43.9,0.1,5.8,2.1,0.7,0.1,2.1,5,58,3,3,19.1,6.4,42,14,2,42,0,0.1,2.4,23.2,4,0.5,0.13,7.16,4.8,34.1,54,clay,,,,,,,,,,,,,,,,,
R8,Reveg_2003_B,Revegetation,2003,Revegetation_2003,6.5,6.2,0.8,1,10,38.2,0.1,7.6,2.4,0.6,0.1,0.5,3.6,86,3,4,24,6,67,17,3,13,0,0.1,0.8,20.2,3.1,0.3,0.13,7.24,6,36.8,50,clay,,,,,,,,,,,,,,,,,
R9,Reveg_2003_C,Revegetation,2003,Revegetation_2003,5.6,5,0.7,1,10.8,43,0.1,4.8,1.9,0.6,0.1,0.8,3.4,77,4,3.2,17.3,5.5,56,18,3,23,0,0.1,1.3,23.4,3.1,0.7,0.09,7.98,5.3,38.7,48,clay,,,,,,,,,,,,,,,,,
T7,Substrate_2003_A,Substrate,2003,Substrate_2003,5.7,5.2,0.8,1.3,23.3,45.6,0.1,4.4,1.4,0.3,0.1,1.6,3.4,54,5,4.7,11.7,2.5,41,9,4,46,0,0.1,1.9,13.7,2.8,1.6,0.07,13,8.6,34.6,44,clay,,,,,,,,,,,,,,,,,
T8,Substrate_2003_B,Substrate,2003,Substrate_2003,6.3,6,0.4,1,16.6,33.2,0.1,4.4,1.3,0.3,0.1,0.9,2.6,65,6,4.3,16.3,3.8,50,12,3,35,0,0.1,2.1,18,2.7,2.7,0.06,13.2,9.2,33.7,44,clay,,,,,,,,,,,,,,,,,
T9,Substrate_2003_C,Substrate,2003,Substrate_2003,6.3,5.8,1.9,1.4,29.3,46.7,0.1,3.6,2.3,0.6,0.1,1.7,4.7,64,3,3.8,19.2,5,49,13,3,35,0,0.1,3.5,13.8,4.9,2.5,0.11,15.22,7.2,33.8,44,clay,,,,,,,,,,,,,,,,,
S10,Soil_2005_A,Soil,2005,Soil_2005,4.7,4.1,4.2,1.8,43.4,17.405,,155.5,0.7,5.6,0.5,10.5,12.4,11.9,22,1.1,2.4,1.9,4.5,4,3,89,0,0.1,0.7,89.9,13.2,0.2,0.21,18.4,3.3,20.3,56,clay,,,,,,,,,,,,,,,,,
S11,Soil_2005_B,Soil,2005,Soil_2005,4.5,4.2,4.7,1.6,17.2,16.932,,165.3,0.5,6.1,0.5,11.3,12.9,12.3,27,1.6,1.4,1,5.5,4,3,88,0,0.1,0.8,101.2,16.8,0.4,0.202,19.7,3.8,18.5,58,clay,,,,,,,,,,,,,,,,,
S12,Soil_2005_C,Soil,2005,Soil_2005,4.9,4.3,4.3,1.6,16.9,16.672,,158.2,0.7,5.8,0.4,9.9,11.9,13.1,28,1.4,1.2,0.9,5,4,4,88,0,0.1,0.7,96.7,15.3,0.2,0.195,19.82,3.6,18.6,58,clay,,,,,,,,,,,,,,,,,
R10,Reveg_2005_A,Revegetation,2005,Revegetation_2005,6.2,6.3,4.9,802,29.8,38.401,,75.1,8.8,6.7,0.9,3.4,67.6,76.7,1,8.9,47.1,5.4,70,8,1,25,0,0.4,31.2,142.1,6.9,2.9,0.333,27.5,7.1,39.4,26,medium loam ,10,29,3,3,-18.66645986,249.2484176,4.9,5.0867024,6.10404288,3.349714817,54.87698699,45.12301301,62,24,4,7.02,97.3
R11,Reveg_2005_B,Revegetation,2005,Revegetation_2005,6.5,6,4.5,895,33.5,32.27,,77.9,7.3,6.3,1.1,4.6,66.2,65.7,1,7.5,37.2,4.9,52,7,2,39,0,0.2,41,219.2,6.2,4.5,0.421,26.2,8.1,43.6,22,medium loam ,10,29,3,3,-18.38703227,293.3184077,3.64,8.058198015,9.669837618,5.077918289,52.5129634,47.4870366,64,22,3,8.11,97.39
R12,Reveg_2005_C,Revegetation,2005,Revegetation_2005,6.1,5.7,4.3,750,38.2,39.55,,76.1,4.7,5.5,1.1,4.9,65.4,92.1,2,4.3,30.2,6.3,45,9,1,44,0,0.3,33.5,169.3,6.5,3.6,0.326,28.9,8,31.1,32,clay loam,10,29,3,3,-19.45659602,349.9687065,3.95,8.859967252,10.6319607,6.545218522,61.56172605,38.43827395,66,22,4,7.08,98.42
